event,Customer,Merchant,Rider,Track,Claim,overall_status,primary_files,notes
Order Created,⚠️,⚠️,—,⚠️,—,⚠️,"apps/storefront/lib/server/aqondEventBus.ts; api/checkout/place","Emitted on checkout; not all actors show it"
Merchant Accepted,⚠️,✅,—,⚠️,—,⚠️,"api/orders/[id]/fulfillment; order-svc","Merchant UI ok; track timeline thin"
Preparing,⚠️,✅,—,⚠️,—,⚠️,"merchant orders page","State exists; event emit partial"
Packing Proof,⚠️,✅,—,⚠️,—,⚠️,"lib/server/packingProof.ts; MerchantPackingProofSheet.tsx","S1 done — gate + event + track display"
Ready,⚠️,✅,⚠️,⚠️,—,⚠️,"merchantOrders.ts dispatchHandoff","Blocked until packing proof M1"
Rider Assigned,⚠️,⚠️,✅,⚠️,—,⚠️,"dispatch-svc; rider jobs","dispatch-svc does not write aqond bus"
Arrived Merchant,❌,⚠️,❌,❌,—,❌,"riderPhaseFlow.ts","M1 new phase"
QR Verified,❌,⚠️,❌,❌,⚠️,❌,"—","M1 merchant QR + rider scan; M3 case 5"
Pickup Photo,❌,—,❌,❌,⚠️,❌,"RiderProofCameraSheet.tsx","M1 mandatory phase"
Departed,❌,—,❌,❌,—,❌,"riderPhaseFlow.ts","M1 phase after pickup"
En Route,⚠️,—,✅,⚠️,—,⚠️,"RiderActiveNavMap; food track","Telemetry ok; event emit missing"
Arrived Customer,❌,—,❌,❌,—,❌,"riderPhaseFlow.ts","M1 phase before delivery proof"
Delivery Proof,⚠️,—,✅,⚠️,⚠️,⚠️,"lib/riderDeliveryProof.ts","Photo exists; event + track gallery partial"
Customer Confirmed,❌,❌,⚠️,❌,—,❌,"—","M1 track page confirm CTA"
Review,⚠️,—,—,❌,—,⚠️,"TtDeliveryReviewPanel.tsx","UI exists; not tied to confirm gate"
Tip,⚠️,—,—,❌,—,⚠️,"TtDeliveryReviewPanel.tsx","UI only; no settlement"
Completed,⚠️,⚠️,⚠️,⚠️,—,⚠️,"dispatch-svc tracking","Needs customer confirm + event"
Claim Created,⚠️,⚠️,⚠️,❌,⚠️,⚠️,"merchantDisputes.ts; TtDisputeReportSheet","JSON dev store; 4 categories"
Claim Updated,❌,⚠️,—,❌,⚠️,❌,"merchantDisputes.ts","M3 state machine"
Claim Closed,⚠️,⚠️,—,❌,⚠️,⚠️,"api/disputes resolve","No auto refund execution"
